"LocalUserId","DateCreated","LastLogin"
"kaddepa","2011-09-05",NULL
"kalevleetaru","2012-08-05","2015-02-07"
"kalinbright","2011-02-17",NULL
"kanchas","2013-01-31","2013-04-08"
"karinenahon","2012-07-02",NULL
"kbeard","2010-09-30",NULL
"kcoley","2012-08-24","2015-06-04"
"kdiefen","2008-02-28",NULL
"kebeard","2010-11-08",NULL
"keenanstone","2012-04-03","2012-11-13"
"kejunl","2013-02-04","2014-02-02"
"kekohle","2011-04-06",NULL
"kelusk","2010-11-05",NULL
"kennethvaden","2011-08-12","2012-04-16"
"kevin4","2009-02-03",NULL
"kevinhiggins","2010-12-17",NULL
"kevja","2011-02-11",NULL
"kewrig","2010-12-13","2016-07-07"
"kgasic","2008-05-26","2016-12-09"
"kgehrma","2013-01-07","2014-03-10"
"kgujar","2009-02-24","2011-09-27"
"khan","2010-03-12",NULL
"kirke","2009-11-21",NULL
"kirubaafmu","2012-06-07","2012-11-06"
"kirubbafmu","2012-06-07",NULL
"kjgalvi","2009-06-29","2014-03-25"
"kkanape","2011-05-27","2014-11-17"
"kkaturi","2013-01-09","2013-03-17"
"kkay","2010-12-01",NULL
"kkrishn","2009-01-21",NULL
"klperki","2012-06-12","2012-06-18"
"klvan","2011-03-21","2013-01-31"
"kmjett","2012-06-12","2014-11-30"
"kmowen","2013-02-15","2013-04-15"
"kmquarl","2013-01-17","2014-12-04"
"knguyen","2012-09-03","2016-08-25"
"knmoody","2012-09-21","2015-05-26"
"knowend","2009-02-02","2012-01-11"
"koritahumphries","2010-11-29",NULL
"kpallip","2011-01-20","2014-10-17"
"kramadu","2013-01-15","2013-02-10"
"kransik","2013-01-31","2013-04-08"
"krife","2013-02-06","2013-06-06"
"krmurra","2013-02-13","2013-02-14"
"ksapra","2010-11-05","2016-12-13"
"kseo","2012-09-10","2016-10-02"
"ksihyun01","2011-11-22","2014-01-27"
"kskinne","2013-01-31","2013-04-08"
"ktalley","2008-06-17",NULL
"ktang","2012-10-08","2013-10-16"
"ktruesd","2013-01-07","2013-04-23"
"ktsui","2012-10-31","2013-03-09"
"kuhnrobert","2011-11-07","2012-03-02"
"kwang","2010-10-15","2015-10-05"
"kxu","2009-08-18","2013-10-07"
"kyleschoche","2012-03-28","2012-04-20"
"kyonten","2011-07-05",NULL
"lalmansingh","2011-03-22","2011-11-15"
"lancefloyd","2012-09-06","2013-08-21"
"latourr","2008-01-09","2016-12-12"
"laurie","2010-09-17",NULL
"lbollma","2011-12-07","2014-05-13"
"lbw","2008-02-28",NULL
"lcairco","2011-08-30","2012-06-09"
"ldong","2010-01-21","2011-09-28"
"lea","2008-07-21","2013-02-11"
"lel","2012-01-12","2016-12-07"
"leobonilha","2012-10-05","2012-10-10"
"levinej","2013-02-20","2016-11-01"
"liangf","2012-09-06","2014-07-25"
"lianyuz","2012-05-28","2012-09-22"
"ligon","2008-10-09","2016-10-28"
"ligovo","2009-01-05",NULL
"linma","2012-10-15",NULL
